texto,label
"Siempre hablas basura, no aportas nada. según los informes de Montero and Sons.",1
Tooodo lo que dices es pura demagogia barata. durante el debate en Tarragona. ...,1
"Calla de una vez, ignorante. según los informes de Riba, Benito and Prado. 🤨",1
Todo lo que dices es pura demagogia barata. como dijo Dafne Agudo hace unos días.,1
"Todo lo que dices es pura demagogia barata. según los informes de mancebo, calleja and ferrández.",1
Tú no mereces estar en el congreso. según los informes de Mármol LLC.,1
"Siiinceramente, Eres insoportable hablando de cultura; solo repites disparates.",1
Quuuiero agradecer al equipo técnico por su esfuerzo. que fue respaldado por varios congresistas. 😒,0
"Eres un inútil completo y deberías renunciar. según los informes de prat, sureda and galindo.",1
"Quuué comentario tan ignorante sobre cultura, ni te has informado. ¿ok? 😒",1
Ese argumento es estúpido y sin fundamento. según los informes de Martinez Group.,1
Eres un inútil completo y deberías renunciar. durante el debate en badajoz. ...,1
"Señor presidente, quisiera hacer una precisión. según los informes de Benito PLC.",0
"Calla de una vez, ignorante. durante el debate en lugo.",1
Tú no mereces estar en el congreso. según los informes de Barceló Ltd.,1
Eres un inútil completo y deberías renunciar. según los informes de Morales-Duarte. 😒,1
Considero que debemos revisar el dictamen nuevamente. que fue respaldado por varios cognresistas.,0
"A ver, Deja de decir tonterías con deportes, cansas a cualquiera. ¿ok?",1
"Gracias por su intervención, congresista. según los informes de Jaume-Pizarro. 😡",0
Hemos escuchado todas las posturas con respeto. según los informes de Gibert Inc.,0
"Oye, Eres insoportable hablando de tecnología; solo repites disparates. ¿queda claro?",1
Tú no mereces estar en el congreso. según los informes de Santana-Salinas.,1
"Eres el peor congresista que hemos tenido. según los informes de Roura, Puga and Rojas.",1
"Seeeñor presidente, quisiera hacer una precisión. como dijo Ruperto Merino Quesada hace unos días.",0
Tú no mereces estar en el congreso. como dijo Heraclio Juan Manuel Tello Goicoechea hace unos días.,1
"En serio, Qué comentario tan ignorante sobre salud, ni te has informado. así de simple.",1
"Calla de una vez, ignorante. según los informes de Porras-Barco.",1
"Tus argumentos sobre política son un desastre, deja de hablar sin saber. ❗",1
"Siempre hablas basura, no aportas nada. según los informes de Villalba LLC.",1
Propongo escuchar a todas las partes involucradas en educación antes de decidir. ¿queda claro?,0
"En seroi, Celebro las mejoras recientes en educación; sigamos colaborando. ...",0
"Oye, Eres insoportable hablando de transporte; solo repites disparates.",1
Lo que acabas de decir es una tontería sin sentido. durante el debate en León.,1
Proopongo escuchar a todas las partes involucradas en transporte antes de decidir. fin.,0
"Mira, Propongo escuchar a todas las partes involucradas en transporte antes de decidir. y punto.",0
Heemos escuchado todas las posturas con respeto. según los informes de lillo-gonzalo. ❗,0
Celebro la participación de todos los colegas. como dijo Anabel Garrido hace unos días.,0
Este proyecto tiene impacto positivo en la población. durante el debate en Lleida.,0
"Miira, Eres insoportable hablando de política; solo repites disparates. ¿queda claro?",1
Todo lo que dices es pura demagogia barata. durante el debate en asturias.,1
"Señor presidente, quisiera hacer una precisión. como dijo Jorge del Sobrino hace unos días.",0
"Mira, Qué comentario tan ignorante sobre tecnología, ni te has informado. así de simple.",1
"Tuus argumentos sobre seguridad son un desastre, deja de hablar sin saber.",1
"Mira, Deja de decir tonterías con política, cansas a cualquiera. ¿queda claro?",1
La comisión está trabajando arduamente en ello. según los informes de Pujadas LLC.,0
"A ver, Considero que educación requiere un análisis técnico y respeto por todas las opiniones. ¿ok?",0
No haces más que mentirle al pueblo. como dijo Narciso Peral hace unos días.,1
"Ceeelebro la participación de todos los colegas. según los informes de Corominas, Zabaleta and Pedrosa.",0
"Mira, Celebro las mejoras recientes en educación; sigamos colaborando.",0
Propongo escuchar a todas las partes involucradas en tecnología antes de decidir. y punto.,0
"En serio, considero que economía requiere un análisis técnico y respeto por todas las opiniones.~",0
"Mira, Agradezco los aportes sobre tecnología; mantengamos un debate constructivo.",0
Estoy de acuerdo con su propuesta en parte. como dijo Amado de Cuervo hace unos días.,0
"Siiempre hablas basura, no aportas nada. druante el debate en Valladolid.",1
Todo lo que dices es pura demagogia barata. como dijo Adelia Ángel Montero hace unos días. 😡,1
"Sinceramente, Eres insoportable hablando de cultura; solo repites disparates. fin.",1
"Mira, Basta de basura en seguridad, aprende antes de opinar. ¿queda claro?",1
Estoy de acuerdo con su propuesta en parte. como dijo Concepción Azcona Jordán hace unos días.,0
"Sinceramente, Agradezco los aportes sobre salud; mantengamos un debate constructivo. ¿queda claro?",0
"Siempre hablas basura, no aportas nada. como dijo Artemio Arteaga Amaya hace unos días.",1
Ese argumento es estúpido y sin fundamento. según los informes de Leal-Iglesias.,1
"Oye, celebro las mejoras recientes en medio ambiente; sigamos colaborando.!!!",0
"Oye, Tus argumentos sobre deportes son un desastre, deja de hablar sin saber. fin.",1
"Oye, Qué comentario tan ignorante sobre educación, ni te has informado. ¿ok?",1
"En serio, Eres insoportable hablando de educación; solo repites disparates.",1
"Mira, eres insoportable hablando de salud; solo erpites disparates. ❗",1
"Señor presidente, quisiera hacer una precisión. como dijo Leopoldo Jódar Tello hace unos días.",0
Este proyecto tiene impacto positivo en la población. como dijo Dulce Bravo Bonilla hace unos días.,0
"En serio, Eres insoportable hablando de política; solo repites disparates.",1
"Sinceramente, Qué comentario tan ignorante sobre economía, ni te has informado.",1
Quiero agradecer al equipo técnico por su esfuerzo. como dijo teresita aguado guitart hace unos días.,0
"Mira, Basta de basura en salud, aprende antes de opinar. y punto.",1
"Calla de una vez, ignorante. como dijo Eustaquio Rico hace unos días.",1
"Sinceramente, Tus argumentos sobre tecnología son un desastre, deja de hablar sin saber. fin.",1
Celebro la participación de todos los colegas. durante el debate en Granada.,0
Estooy de acuerdo con su propuesta en parte. según los informes de Segarra-Isern.,0
"A ver, Considero que cultura requiere un análisis técnico y respeto por todas las opiniones. ¿ok?",0
Eres el peor congresista que hemos tenido. como dijo Pepita Quiroga-Palma hace unos días.,1
Todo lo que dices es pura demagogia barata. como dijo Rosalva Rincón Huerta hace unos días. 😡,1
"A ver, Tus argumentos sobre deportes son un desastre, deja de hablar sin saber. así de simple.",1
"En serio, Deja de decir tonterías con política, cansas a cualquiera. ¿ok?",1
Quiero agradecer al equipo técnico por su esfuerzo. durante el debate en Soria.,0
Todo lo que dices es pura demagogia barata. como dijo Yolanda Figueroa Barreda hace unos días.,1
Este proyecto tiene impacto positivo en la población. durante el debate en Sevilla.,0
Estoy de acuerdo con su propuesta en parte. como dijo Leocadia Maristela Alba Avilés hace unos días.,0
Hemos escuchado todas las posturas con respeto. como dijo David Berto Ribas Carranza hace unos días.,0
No haces más que mentirle al pueblo. según los informes de aguiló-piñol.,1
"Siiinceramente, qué comentario tan ignorante sobre seguridad, ni te has informado. ¿queda claro?",1
"En serio, Agradezco los aportes sobre tecnología; mantengamos un debate constructivo.",0
Túú no mereces estar en el congreso. según los informes de berenguer inc.!!!,1
Solicito una segunda votación por favor. según los informes de Belmonte-Gras.,0
Tu presencia aquí es una vergüenza nacional. durante el debate en Huesca.,1
Todo lo que dices es pura demagogia barata. como dijo Pablo de Rozas hace unos días.,1
"En seerio, Tus argumentos sobre salud son un desastre, deja de hablar sin saber. 😒",1
"Mira, Eres insoportable hablando de medio ambiente; solo repites disparates. fin.",1
Celebro las mejoras recientes en seguridad; sigamos colaborando. y punto. ...,0
"Oye, Qué comentario tan ignorante sobre tecnología, ni te has informado.",1
"En seeerio, Considero que educación requiere un análisis técnico y respeto por todas las opiniones. ¿ok?",0
Quuuiero agradecer al equipo técnico por su esfuerzo. según los informes de Morera Ltd.!!!,0
Celebro la participación de todos los colegas. como dijo lina lobato hace unos días.,0
"En serio, Celebro las mejoras recientes en tecnología; sigamos colaborando.",0
"Tus argumentos sobre seguridad son un desastre, deja de hablar sin saber. ¿ok?",1
Solicito una segunda votación por favor. durante el debate en Toledo.,0
Cooonsidero que debemos revisar el dictamen nuevamente. como dijo Alejandro Silva Roldan hace unos días. 😒,0
Estoy de acuerdo con su propuesta en parte. según los informes de Domínguez PLC.,0
"Mira, Los datos sobre transporte deben revisarse con evidencia y sin ataquse personales. y punto.",0
"Considero que debemos revisar el dictamen nuevamente. según los informes de Bustamante, Dueñas and Giralt.",0
Quiero agradecer al equipo técnico por su esfuerzo. según los informes de gimenez ltd.,0
Estoy de acuerdo con su propuesta en parte. durante el debate en Navarra.!!!,0
Lo que acabas de decir es una tontería sin sentido. durante el debate en Salamanca.,1
Esee argumento es estúpido y sin fundamento. como dijo joan miranda llorens hace unos días.,1
"Gracias por su itnervención, congresista. durante el debate en valladolid.~",0
Loo que acabas de decir es una tontería sin sentido. como dijo Segismundo Vila Fonseca hace unos días.,1
"A ver, Tus argumentos sobre cultura son un desastre, deja de hablar sin saber. fin.",1
"Mira, Agradezco los aportes sobre educación; mantengamos un debate constructivo. 🤨",0
Túúú no mereces estar en el congreso. según los informes de Gargallo PLC.,1
"Oye, Basta de basura en economía, aprende antes de opinar. fin.",1
Este proyecto tiene impacto positivo en la población. como dijo Haroldo Exposito hace unos días.,0
Solicito una segunda votación por favor. durante el debate en Valencia.,0
"Gracias por su intervención, congresista. como dijo Gabriela Benavent Garcia hace unos días.",0
"Tus argumentos sobre deportes son un desastre, deja de hablar sin saber. así de simple.",1
No haces más que mentirle al pueblo. como dijo Haroldo Suárez Galávn hace unos días.,1
Considero que transporte requiere un análisis técnico y respeto por todas las opiniones. 😡,0
No haces más que mentirle al pueblo. según los informes de gil-guerrero.,1
"Siempre hablas basura, no aportas nada. como dijo Augusto Luján Blazquez hace unos días.",1
"A ver, Deja de decir tonterías con política, acnsas a cualquiera.",1
"Ese argumento es estúpido y sin fundamento. según los informes de Arregui, Rios and Rodrigo.!!!",1
"Oye, Los datos sobre deportes deben revisarse con evidencia y sin ataques personales. y punto.",0
"Deja de decir tonterías con tecnología, cansas a cualqiuera. y punto.",1
La comisión está trabajando arduamente en ello. durante el debate en teruel. 😡,0
"Graaacias por su intervención, congresista. como dijo Luis Ángel Chacón Alcolea hace unos días. 😡",0
Eres un inútil completo y deberías renunciar. durante el debate en Sevilla.,1
Este proyecto tiene impacto positivo en la población. durante el debate en León.,0
"Siiinceramente, deja de decir tonterías con economía, cansas a cualquiera. ¿ok?",1
"Calla de una vez, ignorante. como dijo Sergio del Santamaria hace unos días.",1
"A ver, Agradezco los aportes sobre deportes; mantengamos un debate constructivo.",0
Considero que polítcia requiere un análisis técnico y respeto por todas las opiniones.,0
"Baaasta de basura en política, aprende antes de opinar.",1
Eres un inútil completo y deberías renunciar. según los informes de Sola LLC.,1
Tu presencia aquí es una vergüenza nacional. según los informes de Huerta Group.,1
Ereees insoportable hablando de tecnología; solo repites disparates.,1
"Siempre hablas basura, no aportas nada. durante el debate en Zaragoza.",1
"Seeñor presidente, quisiera hacer una precisión. durante el debate en Guadalajara. 😡",0
Tú no mereces estar en el congreso. como dijo Andrea Armengol Sosa hace unos días.~,1
"Nooo haces más que mentirle al pueblo. según los inforems de alegria, cerdán and paredes.~",1
"Sinceramente, Agradezco los aportes sobre medio ambiente; mantengamos un debate constructivo. y punto.",0
Ereees un inútil completo y deberías renunciar. durante el debate en Pontevedra.,1
"Oye, agradezco los aportes sobre economía; mantengamos un debate constructivo. y punto.!!!",0
Eres el peor congresista que hemos tenido. según los informes de Iglesia Ltd. ❗,1
"Sinceramente, Los datos sobre cultura deben revisarse con evidencia y sin ataques personales. ¿ok?",0
Ese argumento es estúpido y sin fundamento. según los informes de Aguilera-Escobar.,1
"En seerio, Propongo escuchar a todas las partes involucradas en economía antes de decidir. ...",0
"Sinceramente, Agradezco los aportes sobre cultura; mantengamos un debate constructivo. ¿queda claro? 😒",0
No haces más que mentirle al pueblo. según los informes de Dueñas-Sotelo.,1
Eres el peor congresista que hemos tenido. como dijo Tatiana Salgado-Asenjo hace unos días.,1
"Quuiero agradecer al equipo técnico por su esfuerzo. según los informes de Rey, Poza and Barral.",0
"Sooolicito una segunda votación por favor. según los informes de Comas, Valdés and Fuentes.",0
"En serio, Considero que seguridad requiere un análisis técnico y respeto por todas las opiniones. ¿ok?",0
Este proyecto tiene impacto positivo en la población. según los informes de Niño-Somoza.,0
Hemos escuchado todas las posturas con respeto. como dijo Diana Borrás Molins hace unos días.,0
"A ver, Qué comentario tan ignorante sobre deportes, ni te has informado. ¿queda claro?",1
"Gracias por su intervención, congresista. durante el debate en la coruña.",0
Tu presencia aquí es una vergüenza nacional. como dijo Eloy Benito Barceló hace unos días.,1
Los datos sobre medio ambiente deben revisarse con evidencia y sin ataques personales.,0
"A ver, Qué comentario tan ignorante sobre deportes, ni te has informado. así de simple.",1
"Oye, eres insoportable hablando de medio ambiente; solo repites disparates. ¿ok?",1
Agraadezco los aportes sobre tecnología; mantengamos un debate constructivo.~,0
Este proyecto tiene impacto positivo en la población. según los informes de mosqeura inc.,0
"Gracias por su intervención, congresista. como dijo Arcelia Cervera Batlle hace unos días.",0
"Tuuus argumentos sobre economía son un desastre, deja de hablar sin saber. ¿queda claro? 😡",1
Considero que debemos revisar el dictamen nuevamente. como dijo Fernando de Salvà hace unos días.,0
"En serio, Celebro las mejoras recientes en política; sigamos colaborando. ¿queda claro?",0
"Laa comisión esát trabajando arduamente en ello. según los informes de Ugarte, Arce and Sabater. 😡",0
Túúú no mereces estar en el congreso. como dijo Dani Arana Carrera hace unos días.,1
"En seeiro, Tus argumentos sobre política son un desastre, deja de hablar sin saber.",1
Esteee proyecto tiene impacto positivo en la población. según los informes de Mosquera Inc. 😒,0
Tuu presencia aquí es una vergüenza nacional. como dijo Marita Hierro Corral hace unos días.,1
"En serio, celebro las mejoras recientes en seguridad; sigamos colaborando.",0
"Graaacias por su intervención, congresista. como dijo Gonzalo Acuña Ordóñez hace unos días.",0
Eres un inútil completo y deberías renunciar. según los informes de Pla-Blanco.,1
"Qué comentario tan ignorante sobre política, ni te has informado.!!!",1
Tuuu presencia aquí es una vergüenza nacional. como dijo Victoria Escalona Alonso hace unos días. ...,1
Eres un inútil completo y deberías renunciar. como dijo plinio rivas angulo hace unos días.,1
"Señor presidente, quisiera hacer una precisión. durante el debate en Tarragona. ...",0
Prooopongo escuchar a todas las partes involucradas en transporte antes de decidir. ¿queda claro?,0
Laaa comisión está trabajando arduamente en ello. como dijo Maximiano Oliveras Vilaplana hace unos días.!!!,0
"En seeerio, tus argumentos sobre cultura son un desastre, deja de hablar sin saber.",1
Quiero agradecer al equipo técnico por su esfuerzo. durante el debate en Zamora.,0
"Deeeja de decir tonterías con tecnología, cansas a cualquiera. 😡",1
"Siempre hablas basura, no aportas nada. según los informes de Gutierrez PLC.",1
Considero que debemos revisar el dictamen nuevamente. durante el debate en Salamanca.,0
No haces más que mentirle al pueblo. según los informes de Escudero Inc.,1
Propongo escuchar a todas las partes involucradas en educación antes de decidir. fin.,0
Tú no mereces estar en el congreso. durante el debate en Ciudad.,1
Eres un inútil completo y deberías renunciar. como dijo Rómulo Gual Pinilla hace unos días.,1
Ese argumento es estúpido y sin fundamento. durante el debate en segovia.,1
Eres un inútil completo y deberías renunciar. durante el debate en Barcelona.,1
Celebro las mejoras recientes en transporte; sigamos colaborando. fin.,0
Tú no mereces estar en el congreso. durante el debate en santa cruz de tenerife. 🤨,1
"A ver, Agradezco los aportes sobre economía; mantengamos un debate constructivo. ¿ok?",0
"En serio, Considero que tecnología requiere un análisis técnico y respeto por todas las opiniones. ¿ok?",0
Agradezco los aportes sobre economía; mantengamos un debate constructivo. y punto.,0
Considero que debemos revisar el dictamen nuevamente. como dijo José Antonio de Torrent hace unos días.,0
Celebro las mejoras recientes en medio ambiente; sigamos colaborando. así de simple.,0
No haces más que mentirle al pueblo. según los informes de Diez-Cuervo.~,1
Hemos escuchado todas las posturas con respeto. como dijo Venceslás Nogueira Domingo hace unos días.,0
"Eres el peor congresista que hemos tenido. según los informes de Piquer, Gil and Gelabert.",1
"Señor presidente, quisiera hacer una precisión. como dijo Roldán Vélez Mercader hace unos días.",0
Estoy de acuerdo con su propuesta en parte. según los informes de Asenjo Ltd.,0
No haces más que mentirle al pueblo. según los informes de Castilla Group. 😡,1
Tú no mereces estar en el congreso. según los informes de Redondo-Vilanova.,1
Tú no mereces estar en el congreso. como dijo Aureliano Taboada-Pinedo hace unos días.~,1
Tuu presencia aquí es una vergüenza nacional. según los informes de Pineda-Meléndez. 😒,1
"Mira, tus argumentos sobre deportes son un desastre, deja de hablar sin sabe.r y punto.",1
"Caaalla de una vez, ignorante. según los informes de Melero Ltd.",1
"Seeeñor presidente, quisiera hacer una precisión. como dijo Julio César del Mateo hace unos días.",0
"Miiira, eres insoportable hablando de seguridad; solo repites disparates. ¿ok?",1
"Solicito una segunda votación por favor. según los informes de Cáceres, Girón and Jove. 😒",0
Eres un inútil completo y deberías renunciar. como dijo Macario Prats Luz hace unos días. 😒,1
Hemos escuchado todas las posturas con respeto. durante el debate en Santa Cruz de Tenerife.,0
"Basta de bsaura en transporte, aprende antes de opinar.",1
Tú no mereces estar en el congreso. según los informes de Delgado PLC.,1
Agradezco los aportes sobre política; mantengamos un debate constructivo.,0
"Eres el peor congresista que hemos tenido. según los informes de Avilés, Escribano and Tomas. ❗",1
Noo haces más que mentirle al pueblo. coom dijo Clara Gonzalo hace unos días.~,1
Este proyecto tiene impacto positivo en la población. según los informes de Durán-Arenas.,0
Tuu presencia aquí es una vergüenza nacional. según los informes de Gabaldón-Alberto. 😒,1
Lo que acabas de decir es una tontería sin sentido. como dijo víctor iniesta luís hace unos días. 🤨,1
Celebro las mejoras recientes en seguridad; sigamos colaborando. ¿queda claro?,0
"Oye, qué comentario tan ignorante sobre deportes, ni te has informado.~",1
Agradezco los apotres sobre economía; mantengamos un debate constructivo. 🤨,0
Agradezco los aportes sobre transporte; mantengamos un debate constructivo. fin.~,0
Ese argumento es estúpido y sin fundamento. durante el debate en Teruel. 😡,1
Este proyecto tiene impacto positivo en la población. como dijo Calixta Rubio Acevedo hace unos días.,0
"Oye, Propongo escuchar a todas las partes involucradas en deportes antes de decidir.",0
"Caalla de una vez, ignorante. según los informes de Mayoral-Acuña.",1
Eres insoportable hablando de deportes; solo repites disparates. 🤨,1
Los datos sobre cultura deben revisarse con evidencia y sin ataques personales. fin. ...,0
Hemos escuchado todas las posturas con respeto. según los informes de Valenzuela-Guillen.,0
La comisión está trabajando arduamente en ello. como dijo Trini Amor Cañizares Ribera hace unos días. 🤨,0
Solicito una segunda votación por favor. según los informes de Granados and Sons.,0
Esee argumento es estúpido y sin fundamento. como dijo cándido elpidio gallardo carreras hace unos días.,1
Túúú no mereces estar en el congreso. durante el debate en Almería.,1
Celebro las mejroas recientes en medio ambiente; sigamos colaborando.,0
"Eres el peor congresista que hemos tenido. según los informes de Cerezo, Aragón and Losa.~",1
Celebro la participación de todos los colegas. como dijo Cebrián Briones Montalbán hace unos días.,0
"Señor presidente, quisiera hacer una precisión. como dijo Maricela Estefanía Pla Solsona hace unos días.",0
"Miiira, Basta de basura en economía, aprende antes de opinar. ¿ok?",1
Tu presencia aquí es una vergüenza nacional. como dijo Coral Alcalá hace unos días.,1
Eseee argumento es estúpido y sin fundamento. durante el debate en córdoba.,1
"En seerio, Propongo escuchar a todas las partes involucradas en economía antes de decidir.",0
Considero que debemos revisar el dictamen nuevamente. según los informes de Alcalá-Bautista.~,0
Quuiero agradecer al equipo técnico por su esfuerzo. como dijo Herberto Chavse hace unos días.,0
"Ese argumento es estúpido y sin fundamento. según los informes de Cuenca, Lamas and Pinedo.",1
Solicito una segunda votación por favor. como dijo juan luis arsenio santamaría corominas hace unos días.,0
"Gracias por su intervención, congresista. durante el debate en Melilla.",0
Ese argumento es estúpido y sin fundamento. según los informes de Ferrán-Cifuentes. 🤨,1
"Sinceramente, tus argumentos sobre educación son un desastre, deja de ahblar sin saber. ¿queda claro?",1
Hemos escuchado todas las postruas con respeto. durante el debate en Córdoba.~,0
"Mira, Considero que medio ambiente requiere un análisis técnico y respeto por todas las opiniones. ¿queda claro?",0
"Solicito una segunda voatción por favor. según los informes de Vilar, Diéguez and Lasa.",0
"Este proyecto tiene impacto positivo en la población. según los informes de sola, esteban and cantero.",0
Noo haces más que mentirle al pueblo. según los informes de carmona ltd.,1
Propongo escuchar a todas las partes involucradas en salud antes de decidir. ¿ok? ❗,0
"Calla de una vez, ignorante. según los informes de Roura, Valbuena and Montalbán.",1
La comisión está trabajando arduamente en ello. según los informes de Girona Inc.,0
"Gracias por su intervención, congresista. según los informes de Llanos-Montserrat.",0
Proopongo escuchar a todas las partes involucradas en política antes de decidir.,0
Eres el peor ocngresista que hemos tenido. como dijo Valeria Baró-Carrión hace unos días.~,1
"Siempre hablas basura, no aportas nada. como dijo Noemí Gonzalo-Murillo hace unos días.",1
"Señor presidente, quisiera hacer una precisión. según los informes de Quesada Group.",0
Tu presencia aquí es una vergüenza nacional. según los informes de Portillo-Oliveras.,1
"Siiinceramente, Agradezco los aportes sobre medio ambiente; mantengamos un debate constructivo.",0
"Sinceramente, considero que cultura requiere un análisis técnico y respeto por todas las opiniones.!!!",0
"En serio, Tus argumentos sobre educación son un desastre, deja de hablar sin saber. ¿ok?",1
"En serio, Propongo escuchar a todas las partes involucradas en cultura antes de decidir.",0
Celebro la participación de todos los colegas. según los informes de Carbó-Quintero.,0
"Basta de basura en transporte, aprende antes de opinar. ¿ok?",1
Solicito una segunda votación por favor. según los informes de Galvez PLC.,0
"Graaacias por su intervención, congresista. durante el debate en Huelva.",0
Considero que debemos revisar el dictamen nuevamente. según los informes de Domínguez-Coloma.,0
"Mira, Basta de basura en transporte, aprende antes de opinar. fin.",1
Ereees insoportable hablando de transporte; solo repites disparates. así de simple.,1
"Sinceramente, Basta de basura en educación, aprende antes de opinar.",1
"Sinceramente, Agradezco los aportes sobre tecnología; mantengamos un debate constructivo.",0
Considero que debemos revisar el dictamen nuevamente. durante el debate en las palmas.,0
Solicito una segunda votación por favor. como dijo Teresita Iniesta Rosell hace unos días.,0
Considero que debemos revisar el dictamne nuevamente. según los informes de gallart plc.,0
